imagen,brightness
a0068.png,107.2
a0205.png,105.88
a0208.png,106.99
a0230.png,101.18
a0245.png,111.12
a0277.png,112.83
a0279.png,115.37
a0371.png,106.15
a0372.png,105.4
a0374.png,113.72
a0379.png,109.6
a0386.png,99.53
a0418.png,100.8
a0487.png,107.02
a0533.png,99.5
a0579.png,108.94
a0705.png,99.48
a0857.png,100.74
a0881.png,102.08
a0947.png,103.77
a0958.png,100.09
a1009.png,105.16
a1021.png,102.91
a1035.png,98.19
a1057.png,105.05
a1058.png,105.96
a1098.png,105.22
a1099.png,102.94
a1112.png,100.16
a1132.png,103.12
a1147.png,104.34
a1204.png,101.95
a1207.png,105.61
a1215.png,102.5
a1222.png,101.96
a1231.png,104.62
a1241.png,103.32
b0045.png,107.85
b0049.png,103.43
b0113.png,108.32
b0155.png,106.55
b0256.png,111.32
b0283.png,112.52
b0299.png,113.09
b0457.png,112.49
b0479.png,114.06
c0029.png,87.47
c0050.png,90.91
c0207.png,117.49
c0268.png,117.32
c0292.png,123.71
c0296.png,124.42
c0337.png,108.4
c0358.png,101.9
c0374.png,96.47
c0377.png,94.5
c0417.png,97.99
c0430.png,95.16
d0006.png,129.98
d0023.png,134.71
d0054.png,130.73
d0073.png,133.75
d0115.png,134.77
d0131.png,133.02
d0184.png,137.27
d0342.png,135.23
d0374.png,134.08
d0398.png,135.1
d0416.png,134.95
d0417.png,133.5
d0467.png,133.97
d0567.png,131.75
d0600.png,132.33
d0767.png,136.28
d0853.png,135.41
d0866.png,136.96
d0903.png,135.56
d0929.png,136.77
d0974.png,134.21
d1012.png,134.73
e0058.png,97.75
e0168.png,94.28
e0202.png,95.46
e0205.png,98.41
e0278.png,92.03
e0281.png,90.32
e0287.png,94.98
e0300.png,92.91
e0322.png,97.08
e0374.png,93.73
e0553.png,97.44
e0647.png,97.38
e0680.png,96.89
e0737.png,93.84
e0758.png,96.96
e0831.png,92.24
e0861.png,93.75
e0888.png,88.48
e1060.png,84.17
e1065.png,98.5
g0075.png,106.01
g0149.png,105.38
h0047.png,55.89
h0223.png,59.11
h0256.png,59.18
h0261.png,58.47
h0300.png,58.95
h0323.png,55.96
h0329.png,54.82
h0407.png,56.45
h0421.png,56.87
h0503.png,57.75
h0514.png,57.33
h0583.png,64.51
i0008.png,131.24
i0075.png,131.37
i0078.png,134.16
i0216.png,139.02
i0234.png,138.22
i0249.png,140.94
i0284.png,135.15
i0303.png,129.45
i0323.png,131.26
i0338.png,131.66
i0347.png,131.26
i0363.png,133.49
i0365.png,133.3
i0441.png,130.35
i0456.png,128.41
i0484.png,130.52
i0502.png,129.05
i0520.png,130.13
i0524.png,130.05
i0730.png,126.27
i0802.png,124.87
i0822.png,124.97
i0834.png,125.25
i0909.png,134.42
i0977.png,131.61
i1031.png,133.15
j0071.png,138.38
j0077.png,140.06
j0114.png,139.48
j0128.png,136.21
j0133.png,139.49
j0178.png,127.14
j0218.png,127.56
j0466.png,130.61
j0475.png,130.03
j0498.png,130.58
j0531.png,130.53
j0551.png,130.81
j0576.png,129.41
j0647.png,129.41
j0656.png,130.71
j0664.png,129.39
j0680.png,129.24
j0682.png,129.9
k0064.png,124.25
k0066.png,123.55
k0091.png,123.01
k0106.png,123.03
k0107.png,123.79
k0138.png,123.76
k0193.png,122.89
k0204.png,123.17
k0208.png,123.06
k0256.png,121.78
k0312.png,122.97
k0448.png,121.41
k0535.png,120.77
l0028.png,117.79
l0039.png,110.57
l0047.png,109.93
l0091.png,96.67
l0109.png,98.2
l0196.png,99.2
l0299.png,100.54
l0357.png,100.85
l0388.png,98.04
m0062.png,98.95
m0103.png,93.75
m0111.png,96.36
m0136.png,96.6
m0152.png,94.46
m0172.png,94.18
m0193.png,95.56
m0201.png,94.8
m0346.png,91.95
m0443.png,106.5
m0457.png,100.33
m0505.png,99.61
n0062.png,137.75
n0063.png,137.2
n0140.png,136.69
n0202.png,140.12
n0209.png,139.17
n0212.png,143.37
n0303.png,134.78
n0332.png,133.36
n0340.png,155.47
n0343.png,173.6
n0624.png,125.34
n0654.png,121.66
n0658.png,119.4
n0662.png,118.47
n0665.png,124.13
n0722.png,121.87
n0738.png,147.0
n0774.png,133.59
n0777.png,128.98
n0807.png,112.71
n0815.png,137.82
n0826.png,119.39
n0840.png,116.17
n0889.png,121.09
n0909.png,117.23
n0910.png,121.77
n0911.png,121.29
n0915.png,119.51
n0928.png,129.44
n0934.png,121.87
n0967.png,129.04
n1003.png,124.35
n1031.png,134.44
n1042.png,124.34
o0009.png,98.66
o0043.png,88.07
o0053.png,90.34
o0056.png,89.07
o0070.png,87.8
o0085.png,89.79
o0088.png,89.96
o0102.png,98.55
o0177.png,88.29
o0179.png,88.93
o0195.png,89.52
o0196.png,90.42
o0205.png,92.65
o0207.png,92.64
o0260.png,94.78
o0279.png,91.44
o0359.png,95.29
o0394.png,92.24
o0432.png,99.1
o0444.png,102.81
o0470.png,97.05
o0491.png,87.92
o0545.png,94.63
o0564.png,99.97
o0570.png,100.46
o0602.png,98.04
o0676.png,100.79
o0704.png,99.3
p0001.png,112.76
p0144.png,112.34
p0165.png,112.77
p0215.png,111.9
p0253.png,112.01
p0301.png,112.86
p0319.png,111.88
q0026.png,94.76
q0044.png,100.19
q0071.png,97.55
q0081.png,96.69
q0105.png,95.29
q0149.png,93.86
q0173.png,93.16
q0277.png,94.1
q0388.png,94.24
q0416.png,94.04
q0471.png,94.6
q0480.png,93.75
q0482.png,93.5
q0508.png,91.38
r0128.png,134.84
r0130.png,134.93
r0193.png,141.49
r0214.png,145.99
r0292.png,146.64
r0345.png,142.67
r0350.png,142.78
r0513.png,149.96
s0045.png,100.43
s0046.png,100.81
s0059.png,100.75
s0066.png,99.26
s0167.png,108.31
s0206.png,105.97
s0323.png,104.12
s0330.png,103.64
s0371.png,103.82
s0383.png,109.17
s0430.png,103.45
u0020.png,115.11
u0151.png,115.14
u0180.png,111.55
u0204.png,113.81
u0229.png,115.38
u0233.png,115.96
u0248.png,114.61
u0282.png,110.4
u0294.png,111.18
u0317.png,112.23
u0433.png,112.71
u0436.png,110.89
u0513.png,111.32
u0519.png,111.9
v0046.png,128.04
v0050.png,128.36
v0062.png,129.04
v0081.png,128.34
v0096.png,127.33
v0112.png,125.6
v0114.png,126.58
v0140.png,121.16
v0201.png,128.08
v0246.png,125.45
v0255.png,125.06
v0429.png,123.42
v0432.png,123.93
v0487.png,126.6
v0526.png,125.87
v0542.png,118.39
v0796.png,120.98
v0811.png,122.64
v0876.png,118.36
v0886.png,120.14
v0894.png,120.63
v0902.png,122.69
v0945.png,120.22
v0975.png,118.77
v0994.png,120.55
v1005.png,121.74
w0035.png,126.48
w0048.png,121.14
w0061.png,103.48
w0194.png,131.77
w0199.png,116.98
w0206.png,111.33
w0207.png,120.4
w0225.png,128.0
w0363.png,156.48
w0414.png,138.14
w0509.png,148.81
w0529.png,148.45
w0580.png,143.14
w0735.png,148.11
w0738.png,152.74
w0742.png,153.42
w0810.png,130.11
x0020.png,130.69
x0074.png,128.89
x0099.png,133.97
x0138.png,143.37
x0178.png,133.28
x0267.png,129.08
x0292.png,130.04
x0306.png,131.33
x0310.png,131.4
x0369.png,135.83
x0382.png,131.69
x0385.png,132.12
x0400.png,132.93
x0437.png,138.91
x0499.png,137.42
x0667.png,135.46
x0679.png,135.96
x0697.png,126.36
x0716.png,127.52
x0741.png,123.21
x0748.png,125.03
x0774.png,127.41
x0802.png,123.19
x0839.png,121.85
x0878.png,127.24
x0995.png,126.49
x1011.png,124.61
x1149.png,127.53
x1260.png,120.85
x1424.png,127.3
y0059.png,86.65
y0134.png,79.13
y0171.png,84.92
y0189.png,85.44
y0271.png,84.74
y0367.png,92.7
y0387.png,92.63
y0408.png,87.48
y0409.png,86.72
y0439.png,85.9
y0516.png,90.88
y0581.png,84.75
y0682.png,85.07
y0762.png,86.4
y0778.png,87.73
y0808.png,86.44
y0845.png,87.4
y0902.png,85.06
y0984.png,78.21
y0995.png,78.06
y1076.png,84.8
y1175.png,79.9
y1181.png,81.8
y1207.png,79.72
y1318.png,81.36
y1342.png,83.54
y1389.png,86.98
y1421.png,85.83
y1511.png,88.46
za0001.png,93.56
za0058.png,91.59
za0074.png,89.68
za0108.png,93.34
za0114.png,86.48
za0164.png,88.81
za0166.png,88.72
za0205.png,97.3
za0244.png,95.33
za0274.png,88.17
za0325.png,92.11
za0388.png,95.3
za0533.png,92.67
za0595.png,100.81
za0620.png,98.63
za0637.png,96.26
za0676.png,95.29
za0685.png,90.8
za0688.png,96.48
za0719.png,99.19
za0738.png,92.06
za0753.png,96.23
za0765.png,97.54
za0799.png,101.41
za0909.png,100.52
za0933.png,92.54
za0938.png,91.81
za0943.png,92.58
za0996.png,96.53
za1025.png,92.98
zb0010.png,99.24
zb0017.png,100.71
zb0031.png,105.01
zb0046.png,103.89
zb0066.png,103.96
zb0073.png,103.03
zb0117.png,103.97
zb0124.png,104.82
zb0148.png,109.71
zb0152.png,113.42
zb0273.png,106.98
zb0276.png,108.87
zb0355.png,108.45
zb0426.png,106.78
zb0433.png,107.69
zb0457.png,108.82
zb0502.png,104.74
zb0528.png,107.17
zb0573.png,108.68
zb0593.png,108.6
zb0636.png,109.0
zb0659.png,106.78
zb0732.png,104.67
zb0863.png,103.6
zb0867.png,103.07
zb0883.png,101.39
zb0917.png,107.86
zb0940.png,106.08
zb0961.png,103.04
zb0966.png,103.4
zb0974.png,103.38
zb0993.png,102.07
zb1020.png,103.24
zb1105.png,100.65
zb1124.png,104.54
zb1144.png,104.77
zb1179.png,105.65
zb1237.png,105.81
zb1246.png,110.6
zc0027.png,107.27
zc0102.png,109.98
zc0189.png,107.1
zc0386.png,109.75
zc0442.png,111.19
zc0507.png,109.71
zc0686.png,110.34
zc0809.png,110.68
zc0813.png,110.42
zc0842.png,110.77
zc0852.png,109.0
zc1127.png,110.42
zc1135.png,110.38
zc1176.png,108.36
zc1181.png,108.98
zc1316.png,110.08
zc1434.png,108.27
zc1452.png,109.23
zc1490.png,108.07
zc1576.png,106.84
zc1667.png,108.09
