imagen,brightness,detectado,EAR
a0068.png,40,1,0.180297
a0205.png,40,1,0.197347
a0208.png,40,1,0.175154
a0230.png,40,1,0.189272
a0245.png,40,1,0.164361
a0277.png,40,1,0.180696
a0279.png,40,1,0.183494
a0371.png,40,1,0.174118
a0372.png,40,1,0.197919
a0374.png,40,1,0.188556
a0379.png,40,1,0.186401
a0386.png,40,1,0.165649
a0418.png,40,1,0.161655
a0487.png,40,1,0.174922
a0533.png,40,1,0.176494
a0579.png,40,1,0.217191
a0705.png,40,1,0.179839
a0857.png,40,1,0.169331
a0881.png,40,1,0.158515
a0947.png,40,1,0.177052
a0958.png,40,1,0.149626
a1009.png,40,1,0.210781
a1021.png,40,1,0.208951
a1035.png,40,1,0.194603
a1057.png,40,1,0.196363
a1058.png,40,1,0.19605
a1098.png,40,1,0.151099
a1099.png,40,1,0.164022
a1112.png,40,1,0.180938
a1132.png,40,1,0.185133
a1147.png,40,1,0.194057
a1204.png,40,1,0.175633
a1207.png,40,1,0.188034
a1215.png,40,1,0.195386
a1222.png,40,1,0.188599
a1231.png,40,1,0.178842
a1241.png,40,1,0.179702
b0045.png,40,1,0.212963
b0049.png,40,1,0.211782
b0113.png,40,1,0.228921
b0155.png,40,1,0.237672
b0256.png,40,1,0.220905
b0283.png,40,1,0.218138
b0299.png,40,1,0.209418
b0457.png,40,1,0.189161
b0479.png,40,1,0.2017
c0029.png,40,1,0.30307
c0050.png,40,1,0.305426
c0207.png,40,1,0.241387
c0268.png,40,1,0.265188
c0292.png,40,1,0.310503
c0296.png,40,1,0.300339
c0337.png,40,1,0.317759
c0358.png,40,1,0.309172
c0374.png,40,1,0.29167
c0377.png,40,1,0.290211
c0417.png,40,1,0.281359
c0430.png,40,1,0.283436
d0006.png,40,1,0.211303
d0023.png,40,1,0.214741
d0054.png,40,1,0.20482
d0073.png,40,1,0.206039
d0115.png,40,1,0.178945
d0131.png,40,1,0.193276
d0184.png,40,1,0.205891
d0342.png,40,1,0.204253
d0374.png,40,1,0.213891
d0398.png,40,1,0.210124
d0416.png,40,1,0.211041
d0417.png,40,1,0.204145
d0467.png,40,1,0.205912
d0567.png,40,1,0.202279
d0600.png,40,1,0.229027
d0767.png,40,1,0.197562
d0853.png,40,1,0.198324
d0866.png,40,1,0.203886
d0903.png,40,1,0.204385
d0929.png,40,1,0.157428
d0974.png,40,1,0.190642
d1012.png,40,1,0.195752
e0058.png,40,1,0.301105
e0168.png,40,1,0.306715
e0202.png,40,1,0.314602
e0205.png,40,1,0.313335
e0278.png,40,1,0.300502
e0281.png,40,1,0.315039
e0287.png,40,1,0.292158
e0300.png,40,1,0.319042
e0322.png,40,1,0.301368
e0374.png,40,1,0.302094
e0553.png,40,1,0.308468
e0647.png,40,1,0.29663
e0680.png,40,1,0.305207
e0737.png,40,1,0.2749
e0758.png,40,1,0.294774
e0831.png,40,1,0.290154
e0861.png,40,1,0.30337
e0888.png,40,1,0.305194
e1060.png,40,1,0.309967
e1065.png,40,1,0.314215
g0075.png,40,1,0.26718
g0149.png,40,1,0.284089
h0047.png,40,1,0.217117
h0223.png,40,1,0.220934
h0256.png,40,1,0.180927
h0261.png,40,1,0.191019
h0300.png,40,1,0.192807
h0323.png,40,1,0.189049
h0329.png,40,1,0.198615
h0407.png,40,1,0.198262
h0421.png,40,1,0.206453
h0503.png,40,1,0.197657
h0514.png,40,1,0.188665
h0583.png,40,1,0.192559
i0008.png,40,1,0.18314
i0075.png,40,1,0.183636
i0078.png,40,1,0.1902
i0216.png,40,1,0.184371
i0234.png,40,1,0.194288
i0249.png,40,1,0.172067
i0284.png,40,1,0.182328
i0303.png,40,1,0.162424
i0323.png,40,1,0.174218
i0338.png,40,1,0.183582
i0347.png,40,1,0.18174
i0363.png,40,1,0.173422
i0365.png,40,1,0.178224
i0441.png,40,1,0.178597
i0456.png,40,1,0.167913
i0484.png,40,1,0.172805
i0502.png,40,1,0.173854
i0520.png,40,1,0.165383
i0524.png,40,1,0.161637
i0730.png,40,1,0.169508
i0802.png,40,1,0.193989
i0822.png,40,1,0.171272
i0834.png,40,1,0.196916
i0909.png,40,1,0.176741
i0977.png,40,1,0.193062
i1031.png,40,1,0.180893
j0071.png,40,1,0.145313
j0077.png,40,1,0.182336
j0114.png,40,1,0.177299
j0128.png,40,1,0.175869
j0133.png,40,1,0.151555
j0178.png,40,1,0.173588
j0218.png,40,1,0.175032
j0466.png,40,1,0.177976
j0475.png,40,1,0.189105
j0498.png,40,1,0.172676
j0531.png,40,1,0.176327
j0551.png,40,1,0.181049
j0576.png,40,1,0.173158
j0647.png,40,1,0.17099
j0656.png,40,1,0.179882
j0664.png,40,1,0.176618
j0680.png,40,1,0.164629
j0682.png,40,1,0.172308
k0064.png,40,1,0.266366
k0066.png,40,1,0.263834
k0091.png,40,1,0.254167
k0106.png,40,1,0.263359
k0107.png,40,1,0.244421
k0138.png,40,1,0.272204
k0193.png,40,1,0.228936
k0204.png,40,1,0.255933
k0208.png,40,1,0.266158
k0256.png,40,1,0.256019
k0312.png,40,1,0.258411
k0448.png,40,1,0.227219
k0535.png,40,1,0.250952
l0028.png,40,1,0.270739
l0039.png,40,1,0.261211
l0047.png,40,1,0.27832
l0091.png,40,1,0.252299
l0109.png,40,1,0.24183
l0196.png,40,1,0.245986
l0299.png,40,1,0.21001
l0357.png,40,1,0.252718
l0388.png,40,1,0.197944
m0062.png,40,1,0.174793
m0103.png,40,1,0.19393
m0111.png,40,1,0.198763
m0136.png,40,1,0.183041
m0152.png,40,1,0.177122
m0172.png,40,1,0.18475
m0193.png,40,1,0.177703
m0201.png,40,1,0.141454
m0346.png,40,1,0.179197
m0443.png,40,1,0.154662
m0457.png,40,1,0.1697
m0505.png,40,1,0.156894
n0062.png,40,1,0.196957
n0063.png,40,1,0.20343
n0140.png,40,1,0.202285
n0202.png,40,1,0.190992
n0209.png,40,1,0.191727
n0212.png,40,1,0.189351
n0303.png,40,1,0.193142
n0332.png,40,1,0.177483
n0340.png,40,1,0.190994
n0343.png,40,1,0.196957
n0624.png,40,1,0.175252
n0654.png,40,1,0.172622
n0658.png,40,1,0.195411
n0662.png,40,1,0.198427
n0665.png,40,1,0.197195
n0722.png,40,1,0.17678
n0738.png,40,1,0.2166
n0774.png,40,1,0.177283
n0777.png,40,1,0.18232
n0807.png,40,1,0.204699
n0815.png,40,1,0.176555
n0826.png,40,1,0.20351
n0840.png,40,1,0.123806
n0889.png,40,1,0.18606
n0909.png,40,1,0.185998
n0910.png,40,1,0.195622
n0911.png,40,1,0.172677
n0915.png,40,1,0.183541
n0928.png,40,1,0.200283
n0934.png,40,1,0.210869
n0967.png,40,1,0.210141
n1003.png,40,1,0.161602
n1031.png,40,1,0.183003
n1042.png,40,1,0.203319
o0009.png,40,1,0.246278
o0043.png,40,1,0.249068
o0053.png,40,1,0.242896
o0056.png,40,1,0.24907
o0070.png,40,1,0.239994
o0085.png,40,1,0.230065
o0088.png,40,1,0.236331
o0102.png,40,1,0.244585
o0177.png,40,1,0.238828
o0179.png,40,1,0.238612
o0195.png,40,1,0.234862
o0196.png,40,1,0.234719
o0205.png,40,1,0.236769
o0207.png,40,1,0.243555
o0260.png,40,1,0.241591
o0279.png,40,1,0.238902
o0359.png,40,1,0.239494
o0394.png,40,1,0.234823
o0432.png,40,1,0.247301
o0444.png,40,1,0.245587
o0470.png,40,1,0.231023
o0491.png,40,1,0.234669
o0545.png,40,1,0.263166
o0564.png,40,1,0.245083
o0570.png,40,1,0.246145
o0602.png,40,1,0.248766
o0676.png,40,1,0.237902
o0704.png,40,1,0.169146
p0001.png,40,1,0.178938
p0144.png,40,1,0.157403
p0165.png,40,1,0.162158
p0215.png,40,1,0.14639
p0253.png,40,1,0.164554
p0301.png,40,1,0.156151
p0319.png,40,1,0.160851
q0026.png,40,1,0.184394
q0044.png,40,1,0.19901
q0071.png,40,1,0.18541
q0081.png,40,1,0.176356
q0105.png,40,1,0.173742
q0149.png,40,1,0.200404
q0173.png,40,1,0.168375
q0277.png,40,1,0.189327
q0388.png,40,1,0.193219
q0416.png,40,1,0.188042
q0471.png,40,1,0.17558
q0480.png,40,1,0.181063
q0482.png,40,1,0.187825
q0508.png,40,1,0.199576
