metodo,imagen_id,nivel_brillo,estado_ojo,ear_ref,clase_ref,ear_mejorada,clase_predicha,resultado
CLAHE,closed_eye_0002.jpg_face_2,B5,cerrado,0.108019,cerrado,0.168095,abierto,FN
CLAHE,closed_eye_0002.jpg_face_2,B10,cerrado,0.108019,cerrado,0.136712,cerrado,TP
CLAHE,closed_eye_0002.jpg_face_2,B15,cerrado,0.108019,cerrado,0.140107,cerrado,TP
CLAHE,closed_eye_0002.jpg_face_2,B25,cerrado,0.108019,cerrado,0.105511,cerrado,TP
CLAHE,closed_eye_0002.jpg_face_2,B40,cerrado,0.108019,cerrado,0.128046,cerrado,TP
CLAHE,closed_eye_0003.jpg_face_2,B5,cerrado,0.062583,cerrado,,no_det,no_det
CLAHE,closed_eye_0003.jpg_face_2,B10,cerrado,0.062583,cerrado,,no_det,no_det
CLAHE,closed_eye_0003.jpg_face_2,B15,cerrado,0.062583,cerrado,0.070224,cerrado,TP
CLAHE,closed_eye_0003.jpg_face_2,B25,cerrado,0.062583,cerrado,0.063434,cerrado,TP
CLAHE,closed_eye_0003.jpg_face_2,B40,cerrado,0.062583,cerrado,0.062603,cerrado,TP
CLAHE,closed_eye_0007.jpg_face_1,B5,cerrado,0.032973,cerrado,0.111242,cerrado,TP
CLAHE,closed_eye_0007.jpg_face_1,B10,cerrado,0.032973,cerrado,0.043753,cerrado,TP
CLAHE,closed_eye_0007.jpg_face_1,B15,cerrado,0.032973,cerrado,0.026525,cerrado,TP
CLAHE,closed_eye_0007.jpg_face_1,B25,cerrado,0.032973,cerrado,0.02932,cerrado,TP
CLAHE,closed_eye_0007.jpg_face_1,B40,cerrado,0.032973,cerrado,0.028079,cerrado,TP
CLAHE,closed_eye_0013.BMP_face_1,B5,cerrado,0.100251,cerrado,0.092241,cerrado,TP
CLAHE,closed_eye_0013.BMP_face_1,B10,cerrado,0.100251,cerrado,0.0847,cerrado,TP
CLAHE,closed_eye_0013.BMP_face_1,B15,cerrado,0.100251,cerrado,0.087443,cerrado,TP
CLAHE,closed_eye_0013.BMP_face_1,B25,cerrado,0.100251,cerrado,0.081608,cerrado,TP
CLAHE,closed_eye_0013.BMP_face_1,B40,cerrado,0.100251,cerrado,0.079538,cerrado,TP
CLAHE,closed_eye_0015.jpg_face_1,B5,cerrado,0.044322,cerrado,0.103007,cerrado,TP
CLAHE,closed_eye_0015.jpg_face_1,B10,cerrado,0.044322,cerrado,0.076761,cerrado,TP
CLAHE,closed_eye_0015.jpg_face_1,B15,cerrado,0.044322,cerrado,0.080804,cerrado,TP
CLAHE,closed_eye_0015.jpg_face_1,B25,cerrado,0.044322,cerrado,0.082736,cerrado,TP
CLAHE,closed_eye_0015.jpg_face_1,B40,cerrado,0.044322,cerrado,0.077754,cerrado,TP
CLAHE,closed_eye_0019.jpg_face_1,B5,cerrado,0.028059,cerrado,0.183865,abierto,FN
CLAHE,closed_eye_0019.jpg_face_1,B10,cerrado,0.028059,cerrado,0.129796,cerrado,TP
CLAHE,closed_eye_0019.jpg_face_1,B15,cerrado,0.028059,cerrado,0.0736,cerrado,TP
CLAHE,closed_eye_0019.jpg_face_1,B25,cerrado,0.028059,cerrado,0.051268,cerrado,TP
CLAHE,closed_eye_0019.jpg_face_1,B40,cerrado,0.028059,cerrado,0.033226,cerrado,TP
CLAHE,closed_eye_0030.jpg_face_2,B5,cerrado,0.057203,cerrado,0.079246,cerrado,TP
CLAHE,closed_eye_0030.jpg_face_2,B10,cerrado,0.057203,cerrado,0.077503,cerrado,TP
CLAHE,closed_eye_0030.jpg_face_2,B15,cerrado,0.057203,cerrado,0.084929,cerrado,TP
CLAHE,closed_eye_0030.jpg_face_2,B25,cerrado,0.057203,cerrado,0.089275,cerrado,TP
CLAHE,closed_eye_0030.jpg_face_2,B40,cerrado,0.057203,cerrado,0.076513,cerrado,TP
CLAHE,closed_eye_0032.jpg_face_1,B5,cerrado,0.03677,cerrado,0.096607,cerrado,TP
CLAHE,closed_eye_0032.jpg_face_1,B10,cerrado,0.03677,cerrado,0.049292,cerrado,TP
CLAHE,closed_eye_0032.jpg_face_1,B15,cerrado,0.03677,cerrado,0.041368,cerrado,TP
CLAHE,closed_eye_0032.jpg_face_1,B25,cerrado,0.03677,cerrado,0.029397,cerrado,TP
CLAHE,closed_eye_0032.jpg_face_1,B40,cerrado,0.03677,cerrado,0.03747,cerrado,TP
CLAHE,closed_eye_0033.jpg_face_2,B5,cerrado,0.103117,cerrado,0.223961,abierto,FN
CLAHE,closed_eye_0033.jpg_face_2,B10,cerrado,0.103117,cerrado,0.133105,cerrado,TP
CLAHE,closed_eye_0033.jpg_face_2,B15,cerrado,0.103117,cerrado,0.125975,cerrado,TP
CLAHE,closed_eye_0033.jpg_face_2,B25,cerrado,0.103117,cerrado,0.094567,cerrado,TP
CLAHE,closed_eye_0033.jpg_face_2,B40,cerrado,0.103117,cerrado,0.105151,cerrado,TP
CLAHE,closed_eye_0053.jpg_face_3,B5,cerrado,0.068393,cerrado,0.178629,abierto,FN
CLAHE,closed_eye_0053.jpg_face_3,B10,cerrado,0.068393,cerrado,0.109246,cerrado,TP
CLAHE,closed_eye_0053.jpg_face_3,B15,cerrado,0.068393,cerrado,0.108896,cerrado,TP
CLAHE,closed_eye_0053.jpg_face_3,B25,cerrado,0.068393,cerrado,0.082716,cerrado,TP
CLAHE,closed_eye_0053.jpg_face_3,B40,cerrado,0.068393,cerrado,0.096561,cerrado,TP
CLAHE,closed_eye_0059.jpg_face_2,B5,cerrado,0.10055,cerrado,0.214623,abierto,FN
