metodo,nivel_brillo,umbral_ear,TP,TN,FP,FN,no_det,acc_det_pct,acc_total_pct
CLAHE,B10,0.155,412,485,15,62,19,92.09,90.33
CLAHE,B15,0.155,440,477,18,42,16,93.86,92.35
CLAHE,B25,0.155,462,478,16,21,16,96.21,94.66
CLAHE,B40,0.155,463,479,13,23,15,96.32,94.86
CLAHE,B5,0.155,262,488,10,190,43,78.95,75.53
GAMMA,B10,0.155,409,491,9,42,42,94.64,90.63
GAMMA,B15,0.155,439,494,6,31,23,96.19,93.96
GAMMA,B25,0.155,449,494,6,25,19,96.82,94.96
GAMMA,B40,0.155,466,494,6,20,7,97.36,96.68
GAMMA,B5,0.155,355,489,10,79,60,90.46,84.99
RETINEX,B10,0.155,448,481,19,16,29,96.37,93.55
RETINEX,B15,0.155,450,486,14,16,27,96.89,94.26
RETINEX,B25,0.155,456,482,18,14,23,96.7,94.46
RETINEX,B40,0.155,454,483,17,13,26,96.9,94.36
RETINEX,B5,0.155,381,480,19,30,83,94.62,86.71
LiteIE,B10,0.155,450,493,7,23,20,96.92,94.96
LiteIE,B15,0.155,459,490,10,16,18,97.33,95.57
LiteIE,B25,0.155,454,487,13,15,24,97.11,94.76
LiteIE,B40,0.155,462,489,11,15,16,97.34,95.77
LiteIE,B5,0.155,409,488,12,48,36,93.73,90.33
