imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,17.9948,100.0,5.9682,CRITICA,6.6405,0.152157,25.1626,85.0019,0.168095,nan,55.6167,nan,1,1,7.798,nan
closed_eye_0002.jpg_face_2,cerrado,B10,119.98,0.108019,9.5192,27.5819,100.0,11.3343,CRITICA,7.4497,0.265869,22.4529,77.0112,0.136712,0.164268,26.5627,52.0735,1,1,425.496,nan
closed_eye_0002.jpg_face_2,cerrado,B15,119.98,0.108019,14.5244,38.6033,92.912,20.6548,CRITICA,8.6255,0.408978,19.3299,67.8252,0.140107,0.144593,29.7064,33.8593,1,1,309.828,nan
closed_eye_0002.jpg_face_2,cerrado,B25,119.98,0.108019,24.4995,59.9814,73.9628,36.3527,CRITICA,11.214,0.660838,15.474,50.0071,0.105511,0.096339,2.3221,10.8133,1,1,380.851,nan
closed_eye_0002.jpg_face_2,cerrado,B40,119.98,0.108019,39.649,84.8255,51.8258,47.7952,BIEN,14.3476,0.795108,13.463,29.3003,0.128046,0.07431,18.5402,31.2062,1,1,411.879,nan
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,17.0681,100.0,3.4601,CRITICA,3.9513,0.103872,25.8773,89.9168,nan,nan,nan,nan,1,0,3859.514,nan
closed_eye_0003.jpg_face_2,cerrado,B10,169.273,0.062583,9.4163,26.4379,100.0,5.5374,CRITICA,4.4724,0.181641,23.3609,84.3815,nan,nan,nan,nan,1,0,3260.515,nan
closed_eye_0003.jpg_face_2,cerrado,B15,169.273,0.062583,14.5376,32.897,100.0,8.0139,CRITICA,4.8786,0.248737,22.5083,80.5657,0.070224,0.150599,12.2079,140.6366,1,1,3466.204,nan
closed_eye_0003.jpg_face_2,cerrado,B25,169.273,0.062583,24.4746,47.2377,99.3572,14.5131,CRITICA,5.8499,0.411152,20.2642,72.0938,0.063434,nan,1.3584,nan,1,1,3766.479,nan
closed_eye_0003.jpg_face_2,cerrado,B40,169.273,0.062583,39.5072,71.7366,58.8593,23.8081,CRITICA,7.6559,0.610912,16.9854,57.6208,0.062603,0.08543,0.0313,36.5066,1,1,3709.199,nan
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,16.2794,100.0,5.2654,CRITICA,4.6612,0.152272,26.3585,89.0401,0.111242,nan,237.3726,nan,1,1,2404.424,nan
closed_eye_0007.jpg_face_1,cerrado,B10,148.5356,0.032973,9.5459,22.8416,100.0,7.4521,CRITICA,5.0648,0.215024,25.0932,84.6221,0.043753,0.093689,32.6922,184.1394,1,1,2454.59,nan
closed_eye_0007.jpg_face_1,cerrado,B15,148.5356,0.032973,14.4588,31.4483,100.0,12.0238,CRITICA,5.6668,0.309209,22.7403,78.8278,0.026525,0.065649,19.5557,99.1003,1,1,2269.632,nan
closed_eye_0007.jpg_face_1,cerrado,B25,148.5356,0.032973,24.474,51.2606,86.5313,24.4505,CRITICA,7.1938,0.518765,18.3558,65.4893,0.02932,0.034492,11.0792,4.6054,1,1,2289.377,nan
closed_eye_0007.jpg_face_1,cerrado,B40,148.5356,0.032973,39.4854,77.8301,45.9692,38.3629,CRITICA,9.638,0.705995,15.0829,47.6017,0.028079,0.023524,14.8412,28.6564,1,1,2132.196,nan
