imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,17.9948,100.0,5.9682,CRITICA,6.6405,0.152157,25.1626,85.0019,0.168095,nan,55.6167,nan,1,1,9.48,nan
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,17.0681,100.0,3.4601,CRITICA,3.9513,0.103872,25.8773,89.9168,nan,nan,nan,nan,1,0,3620.565,nan
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,16.2794,100.0,5.2654,CRITICA,4.6612,0.152272,26.3585,89.0401,0.111242,nan,237.3726,nan,1,1,2348.521,nan
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,18.2241,100.0,8.1902,CRITICA,7.4846,0.171751,24.84,81.6575,0.092241,0.147124,7.9898,46.756,1,1,2439.619,nan
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,18.009,100.0,6.5398,CRITICA,5.5971,0.155431,25.0355,86.8391,0.103007,0.151165,132.404,241.0586,1,1,1760.563,nan
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,13.4722,100.0,3.8879,CRITICA,6.278,0.111946,28.4441,89.8967,0.183865,nan,555.2896,nan,1,1,4870.921,nan
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,16.7229,100.0,4.3119,CRITICA,6.8233,0.242557,26.1844,86.2814,0.079246,nan,38.536,nan,1,1,641.272,nan
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,17.5076,100.0,4.4019,CRITICA,4.4623,0.157727,25.5856,88.7856,0.096607,nan,162.7318,nan,1,1,659.892,nan
closed_eye_0033.jpg_face_2,cerrado,B5,115.7202,0.103117,4.3792,18.0727,100.0,5.4999,CRITICA,7.2457,0.118777,25.0685,84.3824,0.223961,nan,117.1911,nan,1,1,4120.313,nan
closed_eye_0053.jpg_face_3,cerrado,B5,148.0864,0.068393,4.4003,15.9982,100.0,3.8116,CRITICA,5.2699,0.171465,26.5682,89.1967,0.178629,nan,161.1792,nan,1,1,636.537,nan
closed_eye_0059.jpg_face_2,cerrado,B5,100.2889,0.10055,4.5156,16.3391,100.0,5.9424,CRITICA,8.5116,0.227794,26.2318,83.708,0.214623,nan,113.4497,nan,1,1,878.58,nan
closed_eye_0060.jpg_face_1,cerrado,B5,95.9278,0.047151,4.3218,16.7292,100.0,5.7656,CRITICA,9.0042,0.266025,25.9411,82.5606,0.096034,0.235312,103.6763,399.0655,1,1,2784.74,nan
closed_eye_0068.jpg_face_1,cerrado,B5,105.9201,0.047283,4.4441,17.1771,100.0,4.5688,CRITICA,8.5329,0.224639,25.8332,83.7829,0.12413,nan,162.5263,nan,1,1,2718.13,nan
closed_eye_0077.jpg_face_1,cerrado,B5,121.1229,0.062263,4.3748,16.7666,100.0,4.6415,CRITICA,6.8612,0.182672,26.0117,86.1574,0.091988,nan,47.7402,nan,1,1,2009.646,nan
closed_eye_0086.jpg_face_2,cerrado,B5,78.7757,0.055506,4.5073,17.2919,100.0,6.699,CRITICA,10.6797,0.365785,25.6128,78.0492,0.098616,0.173146,77.6655,211.9381,1,1,784.991,nan
closed_eye_0091.jpg_face_1,cerrado,B5,151.2539,0.050929,4.3123,16.2868,100.0,4.7025,CRITICA,5.122,0.183955,26.2889,89.2321,0.138886,nan,172.7054,nan,1,1,659.109,nan
closed_eye_0093.jpg_face_1,cerrado,B5,143.424,0.078215,4.522,16.5079,100.0,4.4783,CRITICA,4.9381,0.222259,26.307,88.4901,0.201095,nan,157.1036,nan,1,1,514.456,nan
closed_eye_0095.jpg_face_1,cerrado,B5,146.3171,0.054832,4.5978,16.8712,100.0,3.7712,CRITICA,5.2579,0.119732,25.9521,88.4694,0.170385,nan,210.7403,nan,1,1,3786.444,nan
closed_eye_0097.jpg_face_4,cerrado,B5,113.304,0.02637,4.4424,12.9178,100.0,3.7693,CRITICA,7.0277,0.116393,29.4906,88.599,0.212558,nan,706.0724,nan,1,1,3489.184,nan
