imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,42.229,100.0,15.2319,CRITICA,8.6347,0.32746,16.2221,64.8033,0.144051,nan,33.3568,nan,1,1,159.872,nan
closed_eye_0002.jpg_face_2,cerrado,B10,119.98,0.108019,9.5192,55.1453,91.3606,17.3832,CRITICA,9.8253,0.46298,14.7328,54.0379,0.0956,0.164268,11.4972,52.0735,1,1,965.251,nan
closed_eye_0002.jpg_face_2,cerrado,B15,119.98,0.108019,14.5244,62.6155,75.9553,19.5523,CRITICA,10.6208,0.539386,14.326,47.8117,0.078749,0.144593,27.0968,33.8593,1,1,1465.631,nan
closed_eye_0002.jpg_face_2,cerrado,B25,119.98,0.108019,24.4995,72.1236,63.4308,23.6956,CRITICA,11.845,0.635117,14.4497,39.887,0.091679,0.096339,15.1269,10.8133,1,1,1775.568,nan
closed_eye_0002.jpg_face_2,cerrado,B40,119.98,0.108019,39.649,81.3432,51.9304,29.3756,BIEN,13.3958,0.735955,15.6412,32.2027,0.075035,0.07431,30.535,31.2062,1,1,1671.123,nan
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,44.0072,100.0,9.7172,CRITICA,5.5349,0.274752,16.0805,74.0022,nan,nan,nan,nan,1,0,6238.303,nan
closed_eye_0003.jpg_face_2,cerrado,B10,169.273,0.062583,9.4163,56.8751,100.0,10.5517,CRITICA,6.43,0.37465,14.5087,66.4004,nan,nan,nan,nan,1,0,5385.029,nan
closed_eye_0003.jpg_face_2,cerrado,B15,169.273,0.062583,14.5376,64.7093,99.9883,11.7185,CRITICA,6.9878,0.429616,14.078,61.7722,nan,0.150599,nan,140.6366,1,0,3706.449,nan
closed_eye_0003.jpg_face_2,cerrado,B25,169.273,0.062583,24.4746,74.2271,51.4493,13.8829,CRITICA,7.7788,0.509486,14.1267,56.1495,nan,nan,nan,nan,1,0,4060.09,nan
closed_eye_0003.jpg_face_2,cerrado,B40,169.273,0.062583,39.5072,83.5413,24.6611,17.0516,BIEN,8.647,0.592255,15.2165,50.647,0.073982,0.08543,18.214,36.5066,1,1,5144.033,nan
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,40.1199,100.0,18.6938,CRITICA,6.3783,0.305071,16.3332,72.9897,0.085877,nan,160.4448,nan,1,1,5288.207,nan
closed_eye_0007.jpg_face_1,cerrado,B10,148.5356,0.032973,9.5459,54.292,100.0,19.4671,CRITICA,7.362,0.433822,14.7311,63.4485,0.032322,0.093689,1.9734,184.1394,1,1,4486.317,nan
closed_eye_0007.jpg_face_1,cerrado,B15,148.5356,0.032973,14.4588,61.9097,89.8855,21.2705,CRITICA,7.9896,0.501392,14.3026,58.32,0.026503,0.065649,19.6228,99.1003,1,1,4992.511,nan
closed_eye_0007.jpg_face_1,cerrado,B25,148.5356,0.032973,24.474,71.1674,41.1346,25.5137,CRITICA,8.8881,0.589884,14.4291,52.0873,0.028517,0.034492,13.5156,4.6054,1,1,5428.881,nan
closed_eye_0007.jpg_face_1,cerrado,B40,148.5356,0.032973,39.4854,80.3634,31.743,30.417,BIEN,9.9482,0.679231,15.6044,45.8962,0.022301,0.023524,32.3654,28.6564,1,1,5181.347,nan
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,37.4856,100.0,23.491,CRITICA,9.5732,0.34432,16.4489,62.2709,0.079341,0.147124,20.8571,46.756,1,1,5491.489,nan
closed_eye_0013.BMP_face_1,cerrado,B10,99.3546,0.100251,9.4424,50.8425,79.2094,26.3031,CRITICA,10.8902,0.498454,14.9855,48.8272,0.070648,0.088153,29.5286,12.0677,1,1,4482.295,nan
closed_eye_0013.BMP_face_1,cerrado,B15,99.3546,0.100251,14.4862,58.4124,67.3787,29.3277,CRITICA,11.8411,0.583676,14.5892,41.2082,0.070642,0.090263,29.5352,9.9627,1,1,5521.811,nan
closed_eye_0013.BMP_face_1,cerrado,B25,99.3546,0.100251,24.5244,67.8632,58.3846,34.9679,CRITICA,13.3426,0.691124,14.8071,31.696,0.067572,0.077245,32.5972,22.9486,1,1,4644.682,nan
closed_eye_0013.BMP_face_1,cerrado,B40,99.3546,0.100251,39.4744,76.7567,53.8448,43.0324,CRITICA,15.3991,0.790762,16.1704,22.7448,0.061849,0.073886,38.3063,26.2993,1,1,5704.506,nan
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,42.4883,100.0,14.2445,CRITICA,7.3726,0.346076,16.1634,68.9496,0.04489,0.151165,1.2818,241.0586,1,1,4228.33,nan
closed_eye_0015.jpg_face_1,cerrado,B10,136.8367,0.044322,9.4298,54.9343,99.4544,16.5998,CRITICA,8.446,0.482216,14.6621,59.8541,0.045591,0.120542,2.8628,171.967,1,1,4024.145,nan
closed_eye_0015.jpg_face_1,cerrado,B15,136.8367,0.044322,14.4959,62.7104,88.8464,18.5192,CRITICA,9.1756,0.549891,14.1878,54.1713,0.052701,0.104138,18.904,134.9564,1,1,4653.327,nan
closed_eye_0015.jpg_face_1,cerrado,B25,136.8367,0.044322,24.5149,72.1507,58.2058,21.6953,CRITICA,10.19,0.635263,14.3254,47.2724,0.043902,0.08159,0.9477,84.0833,1,1,4870.921,nan
closed_eye_0015.jpg_face_1,cerrado,B40,136.8367,0.044322,39.5172,81.4104,36.3379,26.2299,BIEN,11.4366,0.723229,15.4718,40.5054,0.027064,0.063132,38.9389,42.4396,1,1,2943.774,nan
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,44.6923,100.0,6.4289,CRITICA,8.7606,0.358148,15.9471,66.4836,0.134435,nan,379.1227,nan,1,1,6006.005,nan
closed_eye_0019.jpg_face_1,cerrado,B10,133.3445,0.028059,9.4688,57.9412,100.0,7.4526,CRITICA,9.9955,0.455554,14.4727,56.5477,0.077915,nan,177.6873,nan,1,1,6531.679,nan
closed_eye_0019.jpg_face_1,cerrado,B15,133.3445,0.028059,14.4234,65.0811,99.979,8.3273,CRITICA,10.8463,0.52523,14.0366,51.1933,0.080699,0.138039,187.6085,391.9669,1,1,6779.66,nan
closed_eye_0019.jpg_face_1,cerrado,B25,133.3445,0.028059,24.5026,75.2039,55.4505,10.3067,CRITICA,12.121,0.615936,14.0681,43.6017,0.065206,0.076689,132.3934,173.3156,1,1,6093.845,nan
closed_eye_0019.jpg_face_1,cerrado,B40,133.3445,0.028059,39.456,84.2201,28.5234,12.797,BIEN,13.5414,0.713668,15.1186,36.8402,0.039538,0.059347,40.9113,111.5118,1,1,6697.924,nan
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,42.5037,100.0,14.1652,CRITICA,9.1224,0.458836,16.2479,65.1321,0.070071,nan,22.4966,nan,1,1,1931.248,nan
closed_eye_0030.jpg_face_2,cerrado,B10,121.8991,0.057203,9.3998,55.2284,99.992,16.0394,CRITICA,10.3564,0.61822,14.7549,54.6933,0.071334,nan,24.7031,nan,1,1,2025.932,nan
closed_eye_0030.jpg_face_2,cerrado,B15,121.8991,0.057203,14.4943,63.2207,92.4125,17.4132,CRITICA,11.2508,0.685709,14.2804,48.1369,0.062694,0.081073,9.5994,41.73,1,1,1860.465,nan
closed_eye_0030.jpg_face_2,cerrado,B25,121.8991,0.057203,24.4812,72.5864,54.3852,19.9299,CRITICA,12.5128,0.759137,14.4146,40.4537,0.064499,0.064914,12.7559,13.4801,1,1,1755.002,nan
closed_eye_0030.jpg_face_2,cerrado,B40,121.8991,0.057203,39.4884,81.8048,32.1015,23.9829,BIEN,14.0982,0.82821,15.5536,32.8914,0.062164,0.06243,8.674,9.1382,1,1,1714.972,nan
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,42.6197,100.0,14.253,CRITICA,6.1094,0.32955,16.1259,72.7003,0.050781,nan,38.1048,nan,1,1,1354.646,nan
closed_eye_0032.jpg_face_1,cerrado,B10,156.1175,0.03677,9.4211,55.5199,100.0,15.7071,CRITICA,7.0198,0.44661,14.6272,64.4371,0.044204,0.114812,20.218,212.2423,1,1,1350.439,nan
