imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,42.229,100.0,15.2319,CRITICA,8.6347,0.32746,16.2221,64.8033,0.144051,nan,33.3568,nan,1,1,1426.534,nan
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,44.0072,100.0,9.7172,CRITICA,5.5349,0.274752,16.0805,74.0022,nan,nan,nan,nan,1,0,5827.506,nan
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,40.1199,100.0,18.6938,CRITICA,6.3783,0.305071,16.3332,72.9897,0.085877,nan,160.4448,nan,1,1,5157.298,nan
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,37.4856,100.0,23.491,CRITICA,9.5732,0.34432,16.4489,62.2709,0.079341,0.147124,20.8571,46.756,1,1,5246.59,nan
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,42.4883,100.0,14.2445,CRITICA,7.3726,0.346076,16.1634,68.9496,0.04489,0.151165,1.2818,241.0586,1,1,4755.112,nan
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,44.6923,100.0,6.4289,CRITICA,8.7606,0.358148,15.9471,66.4836,0.134435,nan,379.1227,nan,1,1,6265.664,nan
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,42.5037,100.0,14.1652,CRITICA,9.1224,0.458836,16.2479,65.1321,0.070071,nan,22.4966,nan,1,1,1890.717,nan
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,42.6197,100.0,14.253,CRITICA,6.1094,0.32955,16.1259,72.7003,0.050781,nan,38.1048,nan,1,1,1216.989,nan
closed_eye_0033.jpg_face_2,cerrado,B5,115.7202,0.103117,4.3792,43.1359,100.0,11.6804,CRITICA,9.3868,0.333081,16.2193,62.7239,0.154225,nan,49.5633,nan,1,1,5984.44,nan
closed_eye_0053.jpg_face_3,cerrado,B5,148.0864,0.068393,4.4003,44.0762,100.0,8.961,CRITICA,7.2157,0.423766,16.0597,70.2362,0.080771,nan,18.0978,nan,1,1,2493.144,nan
closed_eye_0059.jpg_face_2,cerrado,B5,100.2889,0.10055,4.5156,44.0776,100.0,11.1576,CRITICA,11.3583,0.55077,15.9502,56.0494,0.122675,nan,22.0043,nan,1,1,2533.57,nan
closed_eye_0060.jpg_face_1,cerrado,B5,95.9278,0.047151,4.3218,40.5475,100.0,17.7458,CRITICA,11.8883,0.475485,16.3565,57.7313,0.055317,0.235312,17.319,399.0655,1,1,3124.024,nan
closed_eye_0068.jpg_face_1,cerrado,B5,105.9201,0.047283,4.4441,44.1527,100.0,9.7342,CRITICA,11.323,0.511596,16.1439,58.315,0.09966,nan,110.774,nan,1,1,5711.022,nan
closed_eye_0077.jpg_face_1,cerrado,B5,121.1229,0.062263,4.3748,42.3028,100.0,14.7121,CRITICA,9.1376,0.415731,16.2043,65.0745,0.049243,nan,20.9117,nan,1,1,5194.805,nan
closed_eye_0086.jpg_face_2,cerrado,B5,78.7757,0.055506,4.5073,40.3635,100.0,19.2537,CRITICA,14.2273,0.599408,16.3014,48.7615,0.073009,0.173146,31.5328,211.9381,1,1,2901.915,nan
closed_eye_0091.jpg_face_1,cerrado,B5,151.2539,0.050929,4.3123,44.0768,100.0,8.3898,CRITICA,6.9455,0.438889,16.2127,70.8591,0.054953,nan,7.9017,nan,1,1,1772.421,nan
closed_eye_0093.jpg_face_1,cerrado,B5,143.424,0.078215,4.522,43.4071,100.0,11.8159,CRITICA,6.7964,0.452611,15.9754,69.7351,0.100936,nan,29.0485,nan,1,1,1764.291,nan
closed_eye_0095.jpg_face_1,cerrado,B5,146.3171,0.054832,4.5978,44.0995,100.0,10.4653,CRITICA,7.2197,0.320657,15.8209,69.8603,nan,nan,nan,nan,1,0,4980.079,nan
closed_eye_0097.jpg_face_4,cerrado,B5,113.304,0.02637,4.4424,42.6297,100.0,14.4514,CRITICA,9.7315,0.400177,16.1596,62.3758,0.17118,nan,549.1575,nan,1,1,6035.003,nan
closed_eye_0105.jpg_face_2,cerrado,B5,84.8034,0.07693,4.4653,44.7112,100.0,6.8308,CRITICA,15.1026,0.644159,16.0097,47.2766,0.132864,nan,72.7073,nan,1,1,5434.782,nan
closed_eye_0139.jpg_face_1,cerrado,B5,124.8511,0.065564,4.3403,39.7157,100.0,19.2565,CRITICA,8.2513,0.260617,16.3937,68.1895,0.077687,nan,18.4897,nan,1,1,6459.949,nan
closed_eye_0142.jpg_face_1,cerrado,B5,137.3445,0.039781,4.5626,40.6359,100.0,19.996,CRITICA,7.3518,0.254117,16.1359,70.4132,0.054146,0.149974,36.11,276.997,1,1,3874.467,nan
closed_eye_0151.jpg_face_1,cerrado,B5,81.4116,0.052451,4.5377,43.3005,100.0,13.6434,CRITICA,14.5593,0.605703,16.0007,46.8129,0.045094,nan,14.0278,nan,1,1,4911.591,nan
closed_eye_0151.jpg_face_2,cerrado,B5,92.7773,0.038325,4.5637,44.0559,100.0,10.4322,CRITICA,12.9669,0.554708,15.8976,52.5143,0.069067,0.199886,80.2139,421.5567,1,1,4618.938,nan
