imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,43.987,88.7765,25.269,CRITICA,9.3495,0.338063,15.0066,63.3381,0.111768,nan,3.4711,nan,1,1,0.752,113550336.0
closed_eye_0002.jpg_face_2,cerrado,B10,119.98,0.108019,9.5192,80.7331,53.3835,38.064,BIEN,14.1579,0.631018,10.3227,32.7112,0.076577,0.164268,29.1076,52.0735,1,1,53.787,113550336.0
closed_eye_0002.jpg_face_2,cerrado,B15,119.98,0.108019,14.5244,107.6494,25.9277,44.2178,BIEN,18.7735,0.731409,8.2099,10.2772,0.104257,0.144593,3.4823,33.8593,1,1,40.205,113550336.0
closed_eye_0002.jpg_face_2,cerrado,B25,119.98,0.108019,24.4995,143.8835,12.3127,48.5032,BIEN,17.0697,0.711604,6.2877,19.9229,0.078772,0.096339,27.0753,10.8133,1,1,46.176,113550336.0
closed_eye_0002.jpg_face_2,cerrado,B40,119.98,0.108019,39.649,138.3404,14.1169,49.0023,BIEN,18.3974,0.759005,7.9637,15.3029,0.070527,0.07431,34.7083,31.2062,1,1,23.858,113550336.0
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,45.6233,100.0,14.7575,CRITICA,5.7422,0.300677,15.4811,73.0475,nan,nan,nan,nan,1,0,89.636,2073600.0
closed_eye_0003.jpg_face_2,cerrado,B10,169.273,0.062583,9.4163,84.0359,25.5259,23.0681,BIEN,8.9607,0.594856,10.2861,50.3548,nan,nan,nan,nan,1,0,309.234,2073600.0
closed_eye_0003.jpg_face_2,cerrado,B15,169.273,0.062583,14.5376,113.9306,13.172,28.1416,BIEN,12.2185,0.733918,7.9528,32.6942,nan,0.150599,nan,140.6366,1,0,322.601,2073600.0
closed_eye_0003.jpg_face_2,cerrado,B25,169.273,0.062583,24.4746,152.2918,6.0893,31.7514,BIEN,17.9871,0.803411,5.8332,10.0318,nan,nan,nan,nan,1,0,370.494,2073600.0
closed_eye_0003.jpg_face_2,cerrado,B40,169.273,0.062583,39.5072,145.8566,7.0009,31.716,BIEN,17.2052,0.819925,7.4456,13.8335,0.056163,0.08543,10.2595,36.5066,1,1,382.804,2073600.0
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,43.9408,100.0,23.8802,CRITICA,6.8057,0.338893,15.2246,70.4173,0.060531,nan,83.5783,nan,1,1,181.712,5308416.0
closed_eye_0007.jpg_face_1,cerrado,B10,148.5356,0.032973,9.5459,81.8095,32.2924,38.0288,BIEN,10.5008,0.662886,10.1983,44.9226,0.021644,0.093689,34.3598,184.1394,1,1,222.415,5308416.0
closed_eye_0007.jpg_face_1,cerrado,B15,148.5356,0.032973,14.4588,107.8473,25.6188,47.0136,BIEN,14.1393,0.788494,8.0419,27.3929,0.031808,0.065649,3.5344,99.1003,1,1,403.258,5308416.0
closed_eye_0007.jpg_face_1,cerrado,B25,148.5356,0.032973,24.474,142.7292,19.9514,56.4834,BIEN,19.2697,0.827642,6.1257,3.9091,0.02824,0.034492,14.3548,4.6054,1,1,394.68,5308416.0
closed_eye_0007.jpg_face_1,cerrado,B40,148.5356,0.032973,39.4854,137.4079,21.0675,55.6778,BIEN,19.2109,0.857696,7.7734,7.4916,0.028796,0.023524,12.6679,28.6564,1,1,370.425,5308416.0
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,41.9979,77.4322,34.7617,CRITICA,10.8334,0.394796,14.474,57.7293,0.075208,0.147124,24.9799,46.756,1,1,448.974,5308416.0
closed_eye_0013.BMP_face_1,cerrado,B10,99.3546,0.100251,9.4424,74.9909,54.6708,52.4537,CRITICA,16.4526,0.719536,10.1627,24.522,0.079803,0.088153,20.3972,12.0677,1,1,456.997,5308416.0
closed_eye_0013.BMP_face_1,cerrado,B15,99.3546,0.100251,14.4862,98.26,44.5489,61.9378,BIEN,20.4202,0.771875,8.3095,1.1018,0.081426,0.090263,18.7773,9.9627,1,1,324.37,5308416.0
closed_eye_0013.BMP_face_1,cerrado,B25,99.3546,0.100251,24.5244,129.685,30.4682,68.9052,BIEN,15.9098,0.691335,6.7361,30.5274,0.104646,0.077245,4.3838,22.9486,1,1,252.698,5308416.0
closed_eye_0013.BMP_face_1,cerrado,B40,99.3546,0.100251,39.4744,124.996,33.6466,69.6939,BIEN,17.0627,0.732395,8.5484,25.8079,0.078607,0.073886,21.5894,26.2993,1,1,411.117,5308416.0
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,45.1174,92.6339,20.9299,CRITICA,7.8527,0.374898,15.1302,67.0283,0.047387,0.151165,6.9157,241.0586,1,1,193.787,8294400.0
closed_eye_0015.jpg_face_1,cerrado,B10,136.8367,0.044322,9.4298,81.9361,37.291,33.0324,BIEN,12.0048,0.708799,10.231,40.1212,0.032995,0.120542,25.556,171.967,1,1,380.59,8294400.0
closed_eye_0015.jpg_face_1,cerrado,B15,136.8367,0.044322,14.4959,109.5042,20.6739,39.8818,BIEN,16.3915,0.825864,8.0079,19.9745,0.035688,0.104138,19.48,134.9564,1,1,357.028,8294400.0
closed_eye_0015.jpg_face_1,cerrado,B25,136.8367,0.044322,24.5149,145.5304,13.6302,46.0087,BIEN,19.2455,0.833764,6.0559,6.3533,0.021326,0.08159,51.8837,84.0833,1,1,354.597,8294400.0
closed_eye_0015.jpg_face_1,cerrado,B40,136.8367,0.044322,39.5172,139.9334,14.8065,45.788,BIEN,20.1888,0.86666,7.6961,2.2631,0.028393,0.063132,35.9387,42.4396,1,1,445.137,8294400.0
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,45.6232,100.0,11.4207,CRITICA,9.0552,0.434064,15.3307,65.7855,0.113445,nan,304.3145,nan,1,1,132.973,1327104.0
closed_eye_0019.jpg_face_1,cerrado,B10,133.3445,0.028059,9.4688,85.8914,27.9353,17.5613,BIEN,13.9567,0.727076,10.3704,35.5868,0.028739,nan,2.4239,nan,1,1,209.718,1327104.0
closed_eye_0019.jpg_face_1,cerrado,B15,133.3445,0.028059,14.4234,114.5114,8.1285,20.3997,BIEN,20.7724,0.843933,8.0055,14.1236,0.045182,0.138039,61.0267,391.9669,1,1,242.589,1327104.0
closed_eye_0019.jpg_face_1,cerrado,B25,133.3445,0.028059,24.5026,155.3953,0.231,22.1214,BIEN,19.962,0.855015,5.753,16.5367,0.043868,0.076689,56.3445,173.3156,1,1,230.91,1327104.0
closed_eye_0019.jpg_face_1,cerrado,B40,133.3445,0.028059,39.456,147.9977,1.1342,22.7883,BIEN,22.4504,0.882147,7.3597,10.989,0.023862,0.059347,14.9576,111.5118,1,1,332.568,1327104.0
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,45.739,99.959,19.2484,CRITICA,9.7753,0.452014,15.0454,62.478,0.074551,nan,30.3284,nan,1,1,29.889,84934656.0
closed_eye_0030.jpg_face_2,cerrado,B10,121.8991,0.057203,9.3998,82.5079,32.9689,30.6908,BIEN,14.9108,0.769603,10.3956,32.3146,0.061331,nan,7.217,nan,1,1,62.648,84934656.0
closed_eye_0030.jpg_face_2,cerrado,B15,121.8991,0.057203,14.4943,110.4789,16.3231,37.8551,BIEN,21.0344,0.850945,8.137,9.3685,0.062732,0.081073,9.6658,41.73,1,1,56.929,84934656.0
closed_eye_0030.jpg_face_2,cerrado,B25,121.8991,0.057203,24.4812,146.691,10.367,44.3618,BIEN,18.0822,0.829904,6.1801,20.3381,0.06423,0.064914,12.2846,13.4801,1,1,74.53,84934656.0
closed_eye_0030.jpg_face_2,cerrado,B40,121.8991,0.057203,39.4884,140.8773,11.1646,43.8137,BIEN,19.7678,0.867075,7.8237,15.5688,0.062695,0.06243,9.602,9.1382,1,1,74.329,84934656.0
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,44.5942,99.9996,21.3269,CRITICA,6.4595,0.330308,15.2259,71.4355,0.027337,nan,25.6545,nan,1,1,50.412,79709184.0
closed_eye_0032.jpg_face_1,cerrado,B10,156.1175,0.03677,9.4211,82.1723,35.074,34.4948,BIEN,9.8855,0.599943,10.2514,47.3651,0.041689,0.114812,13.3777,212.2423,1,1,26.129,79709184.0
closed_eye_0032.jpg_face_1,cerrado,B15,156.1175,0.03677,14.4195,109.7089,24.1619,42.1342,BIEN,13.4141,0.721815,8.0283,29.7267,0.033227,0.066276,9.635,80.2435,1,1,24.427,79709184.0
closed_eye_0032.jpg_face_1,cerrado,B25,156.1175,0.03677,24.4474,147.0405,15.6954,48.371,BIEN,19.6508,0.785565,5.9976,5.8142,0.030754,0.061365,16.3617,66.8875,1,1,24.074,79709184.0
closed_eye_0032.jpg_face_1,cerrado,B40,156.1175,0.03677,39.4717,141.2652,17.3882,48.1204,BIEN,19.0984,0.815969,7.6159,9.5135,0.032915,0.031308,10.4855,14.855,1,1,23.355,79709184.0
closed_eye_0033.jpg_face_2,cerrado,B5,115.7202,0.103117,4.3792,44.2924,95.1613,20.4169,CRITICA,9.9295,0.398316,15.414,61.7246,0.173686,nan,68.4362,nan,1,1,126.062,746496.0
closed_eye_0033.jpg_face_2,cerrado,B10,115.7202,0.103117,9.436,81.7668,54.9411,30.3433,BIEN,15.5064,0.739951,10.374,29.341,0.096622,0.204285,6.2987,98.1104,1,1,211.909,746496.0
closed_eye_0033.jpg_face_2,cerrado,B15,115.7202,0.103117,14.4785,110.0776,20.9421,35.1455,BIEN,20.7277,0.814602,8.152,4.8761,0.092506,0.181718,10.2905,76.2255,1,1,498.679,746496.0
closed_eye_0033.jpg_face_2,cerrado,B25,115.7202,0.103117,24.4887,147.3372,4.1475,36.9617,BIEN,16.2043,0.766019,6.1421,27.3219,0.085067,0.147701,17.504,43.2361,1,1,507.537,746496.0
closed_eye_0033.jpg_face_2,cerrado,B40,115.7202,0.103117,39.5146,141.331,6.4004,38.1451,BIEN,17.6566,0.80597,7.8026,22.1317,0.076889,0.115627,25.4348,12.1323,1,1,515.703,746496.0
closed_eye_0053.jpg_face_3,cerrado,B5,148.0864,0.068393,4.4003,45.2941,100.0,15.1955,CRITICA,7.4707,0.415329,15.4443,69.4137,0.085221,nan,24.6046,nan,1,1,49.501,26873856.0
closed_eye_0053.jpg_face_3,cerrado,B10,148.0864,0.068393,9.4065,84.6957,33.3082,23.3176,BIEN,11.4932,0.724677,10.319,42.8066,0.090206,nan,31.8937,nan,1,1,51.692,26873856.0
closed_eye_0053.jpg_face_3,cerrado,B15,148.0864,0.068393,14.5445,113.8217,13.1672,27.7219,BIEN,16.1374,0.857322,7.9924,23.1383,0.076193,nan,11.4038,nan,1,1,50.327,26873856.0
closed_eye_0053.jpg_face_3,cerrado,B25,148.0864,0.068393,24.4206,153.0794,3.6305,30.9248,BIEN,22.1136,0.896915,5.8245,3.3717,0.079889,0.120849,16.8079,76.6974,1,1,49.86,26873856.0
closed_eye_0053.jpg_face_3,cerrado,B40,148.0864,0.068393,39.4449,146.342,4.7633,31.2379,BIEN,22.8532,0.918785,7.4264,1.178,0.072754,0.094047,6.3763,37.5093,1,1,49.33,26873856.0
closed_eye_0059.jpg_face_2,cerrado,B5,100.2889,0.10055,4.5156,45.0839,98.0834,21.7331,CRITICA,12.1936,0.559967,14.9538,55.046,0.126215,nan,25.5247,nan,1,1,37.665,33177600.0
closed_eye_0059.jpg_face_2,cerrado,B10,100.2889,0.10055,9.394,82.0402,43.9107,31.3361,BIEN,19.8328,0.829933,10.2654,18.1962,0.087578,0.185913,12.9009,84.8967,1,1,36.473,33177600.0
closed_eye_0059.jpg_face_2,cerrado,B15,100.2889,0.10055,14.4737,110.3465,31.6006,35.9719,BIEN,23.4126,0.853792,8.0137,10.0286,0.097325,0.139378,3.2073,38.616,1,1,35.271,33177600.0
closed_eye_0059.jpg_face_2,cerrado,B25,100.2889,0.10055,24.4416,148.2483,2.1875,38.3387,BIEN,14.1183,0.787457,5.9895,47.8211,0.084214,0.092954,16.2464,7.5545,1,1,35.611,33177600.0
closed_eye_0059.jpg_face_2,cerrado,B40,100.2889,0.10055,39.4951,141.9538,4.0102,39.7804,BIEN,15.2758,0.824683,7.6347,41.5448,0.08968,0.097539,10.8101,2.9939,1,1,35.707,33177600.0
closed_eye_0060.jpg_face_1,cerrado,B5,95.9278,0.047151,4.3218,43.8629,99.5386,24.4933,CRITICA,12.7992,0.541016,15.2003,54.2751,0.05098,0.235312,8.1226,399.0655,1,1,126.579,4064256.0
closed_eye_0060.jpg_face_1,cerrado,B10,95.9278,0.047151,9.4496,80.9103,36.832,38.42,BIEN,22.0146,0.861812,10.287,15.655,0.035443,0.105453,24.8299,123.6525,1,1,378.143,4064256.0
closed_eye_0060.jpg_face_1,cerrado,B15,95.9278,0.047151,14.5006,107.628,27.5826,46.6657,BIEN,23.5931,0.875369,8.1003,12.197,0.038488,0.076179,18.3725,61.5645,1,1,374.602,4064256.0
closed_eye_0060.jpg_face_1,cerrado,B25,95.9278,0.047151,24.4788,142.7066,19.4972,54.2049,BIEN,14.1481,0.779782,6.2174,48.7647,0.036278,0.041047,23.0598,12.9444,1,1,201.325,4064256.0
closed_eye_0060.jpg_face_1,cerrado,B40,95.9278,0.047151,39.5145,137.645,20.6474,53.3231,BIEN,15.1868,0.82244,7.8667,43.4882,0.041683,0.04361,11.596,7.508,1,1,313.48,4064256.0
closed_eye_0068.jpg_face_1,cerrado,B5,105.9201,0.047283,4.4441,45.8072,99.6644,16.1257,CRITICA,11.9491,0.538222,15.2977,56.7531,0.056883,nan,20.3036,nan,1,1,168.413,2985984.0
