imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,43.987,88.7765,25.269,CRITICA,9.3495,0.338063,15.0066,63.3381,0.111768,nan,3.4711,nan,1,1,4.226,113550336.0
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,45.6233,100.0,14.7575,CRITICA,5.7422,0.300677,15.4811,73.0475,nan,nan,nan,nan,1,0,233.084,2073600.0
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,43.9408,100.0,23.8802,CRITICA,6.8057,0.338893,15.2246,70.4173,0.060531,nan,83.5783,nan,1,1,171.609,5308416.0
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,41.9979,77.4322,34.7617,CRITICA,10.8334,0.394796,14.474,57.7293,0.075208,0.147124,24.9799,46.756,1,1,486.405,5308416.0
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,45.1174,92.6339,20.9299,CRITICA,7.8527,0.374898,15.1302,67.0283,0.047387,0.151165,6.9157,241.0586,1,1,252.474,8294400.0
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,45.6232,100.0,11.4207,CRITICA,9.0552,0.434064,15.3307,65.7855,0.113445,nan,304.3145,nan,1,1,276.045,1327104.0
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,45.739,99.959,19.2484,CRITICA,9.7753,0.452014,15.0454,62.478,0.074551,nan,30.3284,nan,1,1,75.098,84934656.0
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,44.5942,99.9996,21.3269,CRITICA,6.4595,0.330308,15.2259,71.4355,0.027337,nan,25.6545,nan,1,1,79.026,79709184.0
closed_eye_0033.jpg_face_2,cerrado,B5,115.7202,0.103117,4.3792,44.2924,95.1613,20.4169,CRITICA,9.9295,0.398316,15.414,61.7246,0.173686,nan,68.4362,nan,1,1,299.401,746496.0
closed_eye_0053.jpg_face_3,cerrado,B5,148.0864,0.068393,4.4003,45.2941,100.0,15.1955,CRITICA,7.4707,0.415329,15.4443,69.4137,0.085221,nan,24.6046,nan,1,1,160.511,26873856.0
closed_eye_0059.jpg_face_2,cerrado,B5,100.2889,0.10055,4.5156,45.0839,98.0834,21.7331,CRITICA,12.1936,0.559967,14.9538,55.046,0.126215,nan,25.5247,nan,1,1,152.395,33177600.0
closed_eye_0060.jpg_face_1,cerrado,B5,95.9278,0.047151,4.3218,43.8629,99.5386,24.4933,CRITICA,12.7992,0.541016,15.2003,54.2751,0.05098,0.235312,8.1226,399.0655,1,1,278.211,4064256.0
closed_eye_0068.jpg_face_1,cerrado,B5,105.9201,0.047283,4.4441,45.8072,99.6644,16.1257,CRITICA,11.9491,0.538222,15.2977,56.7531,0.056883,nan,20.3036,nan,1,1,217.453,2985984.0
closed_eye_0077.jpg_face_1,cerrado,B5,121.1229,0.062263,4.3748,45.132,99.1995,20.6182,CRITICA,9.6573,0.445089,15.2386,62.7387,0.068881,nan,10.6294,nan,1,1,275.71,6718464.0
closed_eye_0086.jpg_face_2,cerrado,B5,78.7757,0.055506,4.5073,44.7371,93.5758,26.4987,CRITICA,16.0569,0.64191,14.6597,43.2095,0.072513,0.173146,30.6386,211.9381,1,1,153.015,23970816.0
closed_eye_0091.jpg_face_1,cerrado,B5,151.2539,0.050929,4.3123,45.3169,100.0,15.3262,CRITICA,7.1751,0.428262,15.6568,70.0392,0.045189,nan,11.2705,nan,1,1,114.299,47775744.0
closed_eye_0093.jpg_face_1,cerrado,B5,143.424,0.078215,4.522,45.795,99.9983,19.588,CRITICA,7.2833,0.45188,14.8672,68.0702,0.104661,nan,33.8115,nan,1,1,64.25,95883264.0
closed_eye_0095.jpg_face_1,cerrado,B5,146.3171,0.054832,4.5978,45.6918,100.0,16.0236,CRITICA,7.5983,0.385618,14.9419,68.7721,nan,nan,nan,nan,1,0,245.507,2073600.0
closed_eye_0097.jpg_face_4,cerrado,B5,113.304,0.02637,4.4424,45.0376,100.0,21.8879,CRITICA,10.3219,0.447354,15.2035,60.2506,0.062629,nan,137.5027,nan,1,1,464.576,2073600.0
closed_eye_0105.jpg_face_2,cerrado,B5,84.8034,0.07693,4.4653,45.7714,100.0,12.6889,CRITICA,15.712,0.671755,15.4821,46.0264,0.142512,nan,85.2481,nan,1,1,453.083,5308416.0
closed_eye_0139.jpg_face_1,cerrado,B5,124.8511,0.065564,4.3403,43.3728,99.6528,26.2199,CRITICA,8.8377,0.374654,15.1419,65.2604,0.060654,nan,7.4893,nan,1,1,242.072,746496.0
closed_eye_0142.jpg_face_1,cerrado,B5,137.3445,0.039781,4.5626,45.2058,99.9977,24.5135,CRITICA,7.8521,0.290253,14.9218,67.0858,0.045444,0.149974,14.2346,276.997,1,1,50.684,11943936.0
closed_eye_0151.jpg_face_1,cerrado,B5,81.4116,0.052451,4.5377,45.7164,98.6806,19.7635,CRITICA,15.6569,0.655291,15.0458,43.8454,0.053561,nan,2.1153,nan,1,1,225.093,6718464.0
closed_eye_0151.jpg_face_2,cerrado,B5,92.7773,0.038325,4.5637,46.052,99.7273,16.4338,CRITICA,13.8174,0.605919,14.9649,50.3628,0.053177,0.199886,38.7519,421.5567,1,1,270.907,9123840.0
