imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,118.755,33.2349,72.8152,BIEN,23.2594,0.56481,5.6729,1.021,nan,nan,nan,nan,1,0,15.086,nan
closed_eye_0002.jpg_face_2,cerrado,B10,119.98,0.108019,9.5192,126.797,28.4237,71.995,BIEN,24.6889,0.64327,5.6257,5.6818,0.079274,0.164268,26.6114,52.0735,1,1,31.214,nan
closed_eye_0002.jpg_face_2,cerrado,B15,119.98,0.108019,14.5244,133.6843,25.6376,72.743,BIEN,22.4711,0.66186,5.5709,11.4222,0.074011,0.144593,31.4834,33.8593,1,1,31.31,nan
closed_eye_0002.jpg_face_2,cerrado,B25,119.98,0.108019,24.4995,135.2497,24.7729,72.377,BIEN,22.0397,0.67856,6.2337,12.7268,0.091017,0.096339,15.7397,10.8133,1,1,31.41,nan
closed_eye_0002.jpg_face_2,cerrado,B40,119.98,0.108019,39.649,136.7016,23.9902,72.1158,BIEN,21.5778,0.688579,7.4155,13.937,0.099944,0.07431,7.4758,31.2062,1,1,30.794,nan
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,161.0991,11.7695,51.9384,BIEN,19.5079,0.669478,3.8665,4.8288,nan,nan,nan,nan,1,0,1041.016,nan
closed_eye_0003.jpg_face_2,cerrado,B10,169.273,0.062583,9.4163,175.167,8.9294,51.6014,BIEN,25.6264,0.830375,3.3055,3.4819,nan,nan,nan,nan,1,0,1194.458,nan
closed_eye_0003.jpg_face_2,cerrado,B15,169.273,0.062583,14.5376,177.9721,8.871,53.4421,BIEN,25.3036,0.839059,3.4939,5.1391,nan,0.150599,nan,140.6366,1,0,1191.185,nan
closed_eye_0003.jpg_face_2,cerrado,B25,169.273,0.062583,24.4746,182.3906,8.158,52.6333,BIEN,23.5496,0.852038,3.7775,7.7494,0.064862,nan,3.6401,nan,1,1,1188.354,nan
closed_eye_0003.jpg_face_2,cerrado,B40,169.273,0.062583,39.5072,184.3042,8.2983,54.0634,BIEN,22.7208,0.850326,4.5552,8.8799,0.071949,0.08543,14.9656,36.5066,1,1,1187.507,nan
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,139.3083,25.613,76.136,BIEN,21.1451,0.704089,4.6058,6.2122,0.051323,nan,55.6509,nan,1,1,586.201,nan
closed_eye_0007.jpg_face_1,cerrado,B10,148.5356,0.032973,9.5459,155.1443,23.3865,76.5426,BIEN,25.9586,0.849277,4.0513,4.4493,0.031175,0.093689,5.4524,184.1394,1,1,681.013,nan
closed_eye_0007.jpg_face_1,cerrado,B15,148.5356,0.032973,14.4588,161.542,22.895,78.4518,BIEN,23.4467,0.856808,3.9795,8.7565,0.033286,0.065649,0.9489,99.1003,1,1,652.869,nan
closed_eye_0007.jpg_face_1,cerrado,B25,148.5356,0.032973,24.474,162.9316,22.6058,78.2755,BIEN,23.0049,0.877333,4.5213,9.692,0.032985,0.034492,0.0349,4.6054,1,1,681.292,nan
closed_eye_0007.jpg_face_1,cerrado,B40,148.5356,0.032973,39.4854,165.5845,22.3572,78.7199,BIEN,21.8053,0.878767,5.3734,11.478,0.032673,0.023524,0.9106,28.6564,1,1,683.293,nan
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,106.4009,49.9886,89.3669,BIEN,20.6439,0.648008,5.8184,7.092,0.086656,0.147124,13.5605,46.756,1,1,665.292,nan
closed_eye_0013.BMP_face_1,cerrado,B10,99.3546,0.100251,9.4424,111.1256,48.0576,87.7237,BIEN,20.3731,0.695718,5.9996,11.8474,0.095688,0.088153,4.5515,12.0677,1,1,650.915,nan
closed_eye_0013.BMP_face_1,cerrado,B15,99.3546,0.100251,14.4862,112.7093,47.4083,87.3942,BIEN,20.1376,0.696223,6.3442,13.4414,0.102675,0.090263,2.4177,9.9627,1,1,647.082,nan
closed_eye_0013.BMP_face_1,cerrado,B25,99.3546,0.100251,24.5244,114.4017,47.095,88.4093,BIEN,19.5647,0.693613,7.0961,15.1448,0.093056,0.077245,7.1765,22.9486,1,1,663.086,nan
closed_eye_0013.BMP_face_1,cerrado,B40,99.3546,0.100251,39.4744,113.6447,47.2374,88.3048,BIEN,19.7216,0.695977,8.7154,14.3829,0.097167,0.073886,3.0758,26.2993,1,1,667.869,nan
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,137.4679,19.5295,64.1389,BIEN,21.4603,0.713118,4.8168,0.4613,0.033182,0.151165,25.1357,241.0586,1,1,482.207,nan
closed_eye_0015.jpg_face_1,cerrado,B10,136.8367,0.044322,9.4298,142.3406,18.9555,63.5134,BIEN,25.3048,0.855012,4.7739,4.0223,0.04737,0.120542,6.8767,171.967,1,1,511.457,nan
closed_eye_0015.jpg_face_1,cerrado,B15,136.8367,0.044322,14.4959,152.0931,17.2867,64.4063,BIEN,22.0377,0.87312,4.5342,11.1493,0.066307,0.104138,49.6012,134.9564,1,1,479.962,nan
closed_eye_0015.jpg_face_1,cerrado,B25,136.8367,0.044322,24.5149,150.9495,17.1308,63.3063,BIEN,22.9265,0.893948,5.279,10.3136,0.058629,0.08159,32.2788,84.0833,1,1,472.099,nan
closed_eye_0015.jpg_face_1,cerrado,B40,136.8367,0.044322,39.5172,154.927,16.4647,63.6217,BIEN,21.2795,0.89639,6.1164,13.2204,0.039244,0.063132,11.4574,42.4396,1,1,504.363,nan
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,179.1697,3.3606,44.4051,BIEN,13.0928,0.67314,2.79,34.3661,0.130675,nan,365.7204,nan,1,1,1864.628,nan
closed_eye_0019.jpg_face_1,cerrado,B10,133.3445,0.028059,9.4688,181.8204,3.2766,44.8049,BIEN,14.2865,0.810964,3.2501,36.3539,0.033997,nan,21.1626,nan,1,1,1915.709,nan
closed_eye_0019.jpg_face_1,cerrado,B15,133.3445,0.028059,14.4234,188.2031,1.6593,43.1985,BIEN,13.105,0.81691,3.1117,41.1405,0.028295,0.138039,0.8413,391.9669,1,1,1873.01,nan
closed_eye_0019.jpg_face_1,cerrado,B25,133.3445,0.028059,24.5026,178.5054,4.2218,46.2496,BIEN,14.4663,0.850782,4.0798,33.8678,0.034587,0.076689,23.2657,173.3156,1,1,1896.813,nan
closed_eye_0019.jpg_face_1,cerrado,B40,133.3445,0.028059,39.456,185.0657,2.6255,45.0044,BIEN,13.452,0.841018,4.5833,38.7877,0.021558,0.059347,23.1682,111.5118,1,1,1909.49,nan
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,127.1411,17.7828,55.2913,BIEN,20.8791,0.665539,5.4199,4.3003,0.061783,nan,8.0075,nan,1,1,42.195,nan
closed_eye_0030.jpg_face_2,cerrado,B10,121.8991,0.057203,9.3998,138.1546,15.5452,57.0025,BIEN,22.0935,0.825577,5.2276,13.3352,0.063217,nan,10.5144,nan,1,1,46.683,nan
closed_eye_0030.jpg_face_2,cerrado,B15,121.8991,0.057203,14.4943,140.6936,15.1402,56.8245,BIEN,21.3305,0.85123,5.4046,15.418,0.054064,0.081073,5.4874,41.73,1,1,47.984,nan
closed_eye_0030.jpg_face_2,cerrado,B25,121.8991,0.057203,24.4812,142.2192,14.7386,56.3934,BIEN,20.8776,0.877554,6.0045,16.6696,0.059065,0.064914,3.2561,13.4801,1,1,48.496,nan
closed_eye_0030.jpg_face_2,cerrado,B40,121.8991,0.057203,39.4884,141.3687,14.7598,55.7474,BIEN,21.3595,0.888481,7.2777,15.9719,0.062094,0.06243,8.5514,9.1382,1,1,48.2,nan
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,153.086,23.3274,75.4215,BIEN,22.4521,0.616316,3.891,1.9418,0.098064,nan,166.6954,nan,1,1,49.6,nan
closed_eye_0032.jpg_face_1,cerrado,B10,156.1175,0.03677,9.4211,170.5196,21.0505,79.1139,BIEN,22.0028,0.722697,3.2578,9.2252,0.035645,0.114812,3.0606,212.2423,1,1,49.293,nan
closed_eye_0032.jpg_face_1,cerrado,B15,156.1175,0.03677,14.4195,172.4599,20.5223,78.5816,BIEN,21.8749,0.748121,3.4597,10.468,0.042234,0.066276,14.8586,80.2435,1,1,49.553,nan
closed_eye_0032.jpg_face_1,cerrado,B25,156.1175,0.03677,24.4474,177.2287,19.6723,78.3525,BIEN,20.2827,0.763552,3.7757,13.5227,0.03431,0.061365,6.6909,66.8875,1,1,50.312,nan
closed_eye_0032.jpg_face_1,cerrado,B40,156.1175,0.03677,39.4717,178.4105,19.3362,78.0094,BIEN,19.8942,0.766382,4.6087,14.2796,0.037255,0.031308,1.3184,14.855,1,1,49.272,nan
closed_eye_0033.jpg_face_2,cerrado,B5,115.7202,0.103117,4.3792,122.3748,24.68,59.8311,BIEN,22.0943,0.793548,5.9346,5.7506,0.162034,nan,57.1364,nan,1,1,2089.864,nan
closed_eye_0033.jpg_face_2,cerrado,B10,115.7202,0.103117,9.436,123.5878,23.6559,58.0805,BIEN,23.8272,0.853078,6.0613,6.7988,0.091455,0.204285,11.3094,98.1104,1,1,2282.063,nan
closed_eye_0033.jpg_face_2,cerrado,B15,115.7202,0.103117,14.4785,130.087,21.9662,60.2096,BIEN,21.8677,0.853455,6.0031,12.4152,0.108967,0.181718,5.6736,76.2255,1,1,2281.022,nan
closed_eye_0033.jpg_face_2,cerrado,B25,115.7202,0.103117,24.4887,124.6349,25.2432,61.3735,BIEN,23.1546,0.866869,7.0722,7.7037,0.119786,0.147701,16.1647,43.2361,1,1,2317.497,nan
closed_eye_0033.jpg_face_2,cerrado,B40,115.7202,0.103117,39.5146,123.223,25.9345,61.7948,BIEN,23.4338,0.871181,8.5483,6.4836,0.109537,0.115627,6.226,12.1323,1,1,2257.846,nan
closed_eye_0053.jpg_face_3,cerrado,B5,148.0864,0.068393,4.4003,150.1422,14.0444,52.7075,BIEN,21.1668,0.650328,4.3916,1.3882,nan,nan,nan,nan,1,0,146.535,nan
closed_eye_0053.jpg_face_3,cerrado,B10,148.0864,0.068393,9.4065,168.8251,9.2699,54.1788,BIEN,20.3585,0.80042,3.7007,14.0045,0.082983,nan,21.3323,nan,1,1,147.473,nan
closed_eye_0053.jpg_face_3,cerrado,B15,148.0864,0.068393,14.5445,175.5356,7.1416,54.4571,BIEN,18.8643,0.882394,3.649,18.5359,0.071729,nan,4.8781,nan,1,1,147.135,nan
closed_eye_0053.jpg_face_3,cerrado,B25,148.0864,0.068393,24.4206,179.2192,6.5234,54.5881,BIEN,17.9666,0.901464,4.0062,21.0234,0.083583,0.120849,22.2094,76.6974,1,1,146.406,nan
closed_eye_0053.jpg_face_3,cerrado,B40,148.0864,0.068393,39.4449,182.9012,5.9029,54.9465,BIEN,16.9661,0.90795,4.6641,23.5098,0.075568,0.094047,10.4912,37.5093,1,1,144.009,nan
closed_eye_0059.jpg_face_2,cerrado,B5,100.2889,0.10055,4.5156,109.0488,39.1691,55.9787,BIEN,22.5963,0.748005,6.6497,8.7346,0.129829,nan,29.1194,nan,1,1,118.814,nan
closed_eye_0059.jpg_face_2,cerrado,B10,100.2889,0.10055,9.394,103.3635,39.6113,53.4938,BIEN,26.1303,0.846263,7.492,3.0658,0.073546,0.185913,26.8558,84.8967,1,1,121.367,nan
closed_eye_0059.jpg_face_2,cerrado,B15,100.2889,0.10055,14.4737,108.3089,38.2694,53.7929,BIEN,24.9468,0.864919,7.5293,7.9969,0.076968,0.139378,23.4527,38.616,1,1,110.505,nan
closed_eye_0059.jpg_face_2,cerrado,B25,100.2889,0.10055,24.4416,105.4705,39.4381,54.7485,BIEN,25.4347,0.880094,8.6333,5.1667,0.076388,0.092954,24.0295,7.5545,1,1,111.377,nan
closed_eye_0059.jpg_face_2,cerrado,B40,100.2889,0.10055,39.4951,105.6842,39.4797,55.9595,BIEN,24.7603,0.884518,10.2218,5.3797,0.068579,0.097539,31.7959,2.9939,1,1,112.411,nan
closed_eye_0060.jpg_face_1,cerrado,B5,95.9278,0.047151,4.3218,109.8972,31.7837,62.7001,BIEN,20.9759,0.767925,6.6198,14.5624,0.056851,0.235312,20.5725,399.0655,1,1,792.079,nan
