imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
closed_eye_0002.jpg_face_2,cerrado,B5,119.98,0.108019,4.4706,118.755,33.2349,72.8152,BIEN,23.2594,0.56481,5.6729,1.021,nan,nan,nan,nan,1,0,28.694,nan
closed_eye_0003.jpg_face_2,cerrado,B5,169.273,0.062583,4.4199,161.0991,11.7695,51.9384,BIEN,19.5079,0.669478,3.8665,4.8288,nan,nan,nan,nan,1,0,1091.465,nan
closed_eye_0007.jpg_face_1,cerrado,B5,148.5356,0.032973,4.3259,139.3083,25.613,76.136,BIEN,21.1451,0.704089,4.6058,6.2122,0.051323,nan,55.6509,nan,1,1,628.615,nan
closed_eye_0013.BMP_face_1,cerrado,B5,99.3546,0.100251,4.4353,106.4009,49.9886,89.3669,BIEN,20.6439,0.648008,5.8184,7.092,0.086656,0.147124,13.5605,46.756,1,1,621.388,nan
closed_eye_0015.jpg_face_1,cerrado,B5,136.8367,0.044322,4.4336,137.4679,19.5295,64.1389,BIEN,21.4603,0.713118,4.8168,0.4613,0.033182,0.151165,25.1357,241.0586,1,1,499.775,nan
closed_eye_0019.jpg_face_1,cerrado,B5,133.3445,0.028059,4.5093,179.1697,3.3606,44.4051,BIEN,13.0928,0.67314,2.79,34.3661,0.130675,nan,365.7204,nan,1,1,1812.251,nan
closed_eye_0030.jpg_face_2,cerrado,B5,121.8991,0.057203,4.4935,127.1411,17.7828,55.2913,BIEN,20.8791,0.665539,5.4199,4.3003,0.061783,nan,8.0075,nan,1,1,46.637,nan
closed_eye_0032.jpg_face_1,cerrado,B5,156.1175,0.03677,4.41,153.086,23.3274,75.4215,BIEN,22.4521,0.616316,3.891,1.9418,0.098064,nan,166.6954,nan,1,1,50.399,nan
closed_eye_0033.jpg_face_2,cerrado,B5,115.7202,0.103117,4.3792,122.3748,24.68,59.8311,BIEN,22.0943,0.793548,5.9346,5.7506,0.162034,nan,57.1364,nan,1,1,2322.341,nan
closed_eye_0053.jpg_face_3,cerrado,B5,148.0864,0.068393,4.4003,150.1422,14.0444,52.7075,BIEN,21.1668,0.650328,4.3916,1.3882,nan,nan,nan,nan,1,0,131.77,nan
closed_eye_0059.jpg_face_2,cerrado,B5,100.2889,0.10055,4.5156,109.0488,39.1691,55.9787,BIEN,22.5963,0.748005,6.6497,8.7346,0.129829,nan,29.1194,nan,1,1,116.999,nan
closed_eye_0060.jpg_face_1,cerrado,B5,95.9278,0.047151,4.3218,109.8972,31.7837,62.7001,BIEN,20.9759,0.767925,6.6198,14.5624,0.056851,0.235312,20.5725,399.0655,1,1,645.12,nan
closed_eye_0068.jpg_face_1,cerrado,B5,105.9201,0.047283,4.4441,134.8099,11.9093,49.9989,BIEN,16.6759,0.703797,5.2199,27.2751,0.065184,nan,37.8605,nan,1,1,994.332,nan
closed_eye_0077.jpg_face_1,cerrado,B5,121.1229,0.062263,4.3748,143.1427,17.4527,66.8754,BIEN,18.7785,0.740119,4.5763,18.1797,0.086092,nan,38.2704,nan,1,1,564.143,nan
closed_eye_0086.jpg_face_2,cerrado,B5,78.7757,0.055506,4.5073,88.9468,38.0135,55.4972,BIEN,22.0239,0.753546,7.9877,12.9115,0.060759,0.173146,9.4635,211.9381,1,1,169.846,nan
closed_eye_0091.jpg_face_1,cerrado,B5,151.2539,0.050929,4.3123,135.4604,16.5108,49.3416,BIEN,19.1821,0.754072,5.4907,10.4417,0.050343,nan,1.151,nan,1,1,79.402,nan
closed_eye_0093.jpg_face_1,cerrado,B5,143.424,0.078215,4.522,137.9885,24.656,62.6783,BIEN,21.1267,0.7036,4.5912,3.7899,nan,nan,nan,nan,1,0,41.771,nan
closed_eye_0095.jpg_face_1,cerrado,B5,146.3171,0.054832,4.5978,168.4992,12.1071,58.8781,BIEN,16.571,0.739855,2.9244,15.1603,0.072592,nan,32.3902,nan,1,1,1320.481,nan
closed_eye_0097.jpg_face_4,cerrado,B5,113.304,0.02637,4.4424,135.2614,26.6484,66.6163,BIEN,18.783,0.729194,5.0397,19.3792,nan,nan,nan,nan,1,0,1425.517,nan
closed_eye_0105.jpg_face_2,cerrado,B5,84.8034,0.07693,4.4653,151.1503,8.1317,43.5885,BIEN,11.1436,0.601722,4.4645,78.2362,0.149208,nan,93.952,nan,1,1,645.619,nan
closed_eye_0139.jpg_face_1,cerrado,B5,124.8511,0.065564,4.3403,153.8798,28.559,88.9533,BIEN,16.3617,0.771946,3.6706,23.2506,0.057774,nan,11.8823,nan,1,1,3264.773,nan
closed_eye_0142.jpg_face_1,cerrado,B5,137.3445,0.039781,4.5626,168.0811,21.174,90.3582,BIEN,16.0595,0.53761,2.938,22.3792,0.042864,0.149974,7.7481,276.997,1,1,283.648,nan
closed_eye_0151.jpg_face_1,cerrado,B5,81.4116,0.052451,4.5377,132.1906,19.0741,58.0831,BIEN,13.116,0.659888,5.2022,62.3731,0.04667,nan,11.0232,nan,1,1,598.623,nan
closed_eye_0151.jpg_face_2,cerrado,B5,92.7773,0.038325,4.5637,130.3356,14.6396,48.1431,BIEN,15.0139,0.694878,5.2611,40.4823,0.065463,0.199886,70.811,421.5567,1,1,458.232,nan
closed_eye_0161.jpg_face_1,cerrado,B5,77.1857,0.086532,4.4663,85.4394,47.9191,59.8452,BIEN,20.2447,0.583018,7.4867,10.6933,0.076117,0.241197,12.0362,178.738,1,1,72.228,nan
closed_eye_0162.jpg_face_1,cerrado,B5,170.1527,0.03802,4.5282,165.9013,9.9862,62.9385,BIEN,21.265,0.714151,3.1669,2.4986,0.047072,0.212289,23.8092,458.3662,1,1,819.202,nan
closed_eye_0165.jpg_face_2,cerrado,B5,127.1762,0.092497,4.4297,134.4732,19.2349,59.1085,BIEN,21.0543,0.721551,5.0013,5.7376,0.130452,0.193373,41.0343,109.0599,1,1,573.0,nan
closed_eye_0168.jpg_face_1,cerrado,B5,78.4385,0.063652,4.4891,96.0739,41.7497,55.1534,BIEN,19.4363,0.757777,7.4926,22.483,0.092327,0.160087,45.0499,151.5033,1,1,400.24,nan
closed_eye_0171.jpg_face_1,cerrado,B5,153.9087,0.032013,4.3588,150.5561,9.0725,49.3525,BIEN,21.0359,0.739865,4.6185,2.1783,0.101029,nan,215.59,nan,1,1,978.665,nan
closed_eye_0178.jpg_face_1,cerrado,B5,104.2226,0.135862,4.3444,102.9552,37.7987,57.1507,BIEN,24.1791,0.78948,7.4121,1.2161,0.147551,nan,8.6031,nan,1,1,980.392,nan
closed_eye_0183.jpg_face_1,cerrado,B5,77.5475,0.041944,4.4831,141.7653,30.6111,87.354,BIEN,9.9511,0.602922,3.825,82.8109,0.047204,0.190759,12.539,354.79,1,1,1790.51,nan
closed_eye_0185.jpg_face_1,cerrado,B5,115.3764,0.027319,4.5548,125.4485,28.1972,73.2926,BIEN,19.9455,0.617513,5.0236,8.7297,0.045211,0.184739,65.4934,576.2253,1,1,590.423,nan
closed_eye_0189.jpg_face_1,cerrado,B5,141.9917,0.1466,4.4721,148.6345,25.0055,80.3444,BIEN,22.4217,0.772173,3.8691,4.6783,0.132889,nan,9.353,nan,1,1,800.256,nan
closed_eye_0191.jpg_face_1,cerrado,B5,126.7679,0.094616,4.4954,145.6329,10.2084,47.3099,BIEN,18.473,0.68549,4.6402,14.8815,0.196073,nan,107.2303,nan,1,1,65.861,nan
closed_eye_0192.jpg_face_1,cerrado,B5,93.2502,0.061993,4.5649,124.806,22.5185,61.2344,BIEN,15.5638,0.685287,5.347,33.84,0.085237,0.178283,37.4944,187.5843,1,1,64.131,nan
closed_eye_0195.jpg_face_1,cerrado,B5,101.2213,0.071417,4.4245,136.6253,14.3411,52.2423,BIEN,16.3095,0.776872,5.4594,34.9769,0.077528,nan,8.557,nan,1,1,441.755,nan
closed_eye_0209.jpg_face_1,cerrado,B5,187.6045,0.068434,4.5001,205.8163,9.007,70.6373,BIEN,20.4463,0.818021,1.5712,9.7075,0.0874,nan,27.7148,nan,1,1,123.893,nan
closed_eye_0212.jpg_face_1,cerrado,B5,155.0625,0.02427,4.2594,136.0541,20.0666,62.7821,BIEN,19.0195,0.732493,5.1768,12.2585,0.031753,nan,30.8329,nan,1,1,587.027,nan
closed_eye_0228.jpg_face_2,cerrado,B5,140.9694,0.05744,4.3818,155.2075,16.7989,67.1498,BIEN,20.1242,0.791376,3.7561,10.1001,0.095285,0.207139,65.8859,260.615,1,1,754.546,nan
